ID,SMILES,MW,logP,numAtoms,numRings,numRotBonds,numHDon,numHAcc
DB07462,O=C(c1ccccc1)c1ccc(O)c(O)c1[N+](=O)[O-],259.048,2.237,19,2,3,2,5
DB07476,NS(=O)(=O)c1ccc(NC(=O)c2ccccc2S)cc1,308.029,1.875,20,2,3,3,4
DB07479,OC1Cc2c(ccc3ccc4ccccc4c23)C(O)C1O,280.11,2.304,21,4,0,3,3
DB07481,CC(C)(C)OC(=O)NCc1c[nH]c2[nH]c(N)nc(=O)c12,279.133,0.858,20,2,2,4,5
DB07484,O=C(O)C(Cc1ccccc1)CC(O)(O)C[N+](=O)[O-],269.09,0.278,19,1,7,3,5
DB07487,Cc1ccc2c(c1)CCC(C[PH](=O)[O-])O2,225.069,1.524,15,2,2,0,3
DB07497,O=CCCCCC1SCC2NC(=O)NC21,228.093,0.911,15,2,5,2,3
DB07498,O=C(O)CCCc1nc(-c2cccc([N+](=O)[O-])c2)no1,277.07,2.052,20,2,6,1,6
DB07506,O=C(O)CC(Cc1ccccc1)C(=O)O,208.074,1.405,15,1,5,2,2
DB07517,CCCc1oc(CCC(=O)O)c(C(=O)O)c1C,240.1,2.256,17,1,6,2,3
DB07518,CCCCC(CC)COS(=O)(=O)O,210.093,2.022,13,0,7,1,3
DB07529,NC1=NC(=O)/C(=C\c2ccccn2)S1,205.031,1.011,14,2,1,1,4
DB07532,CCCCCC(=O)NC(CCO)C(=O)O,217.131,0.518,15,0,8,3,3
DB07535,Nc1nc(=O)cc(CCc2ccc3cc[nH]c3c2)[nH]1,254.117,1.619,19,3,3,3,3
DB07551,CCNc1nc(Cl)nc(NC(C)(C#N)CC)n1,254.105,2.061,17,1,5,2,6
DB07552,CCNc1nc(Cl)nc(NC(C)(C#N)CC)n1,254.105,2.061,17,1,5,2,6
DB07573,Cc1ccc(C)c(OCC(O)CN2CCOCC2)c1,265.168,1.375,19,2,5,1,4
DB07575,NC(Cc1ccccc1)C(O)C(N)Cc1ccccc1,270.173,1.487,20,2,6,3,3
DB07577,CCc1nc(N)nc(N)c1-c1ccccc1,214.122,1.87,16,2,2,2,4
DB07585,Clc1c[nH]c2ncnc(N3CCc4nc[nH]c4C3)c12,274.073,1.897,19,4,1,2,4
DB07591,O=C(Nc1nccs1)C(=O)NC1CCCC1,239.073,1.14,16,2,2,2,4
DB07597,NC1CCc2ccccc2C1O,163.1,0.994,12,2,0,2,2
DB07598,O=C1c2cc3c(cc2OC2CCCN12)OCCO3,247.084,1.412,18,4,0,0,4
DB07603,CCCCCC(=O)NC(CCS)C(=O)O,233.109,1.456,15,0,8,3,3
DB07610,Oc1ccc2ccccc2c1O,160.052,2.251,12,2,0,2,2
DB07617,CNCc1ccc(-c2cccnc2)o1,188.095,2.061,14,2,3,1,3
DB07621,NCc1ccc(-c2cccnc2)o1,174.079,1.8,13,2,2,1,3
DB07632,NS(=O)(=O)c1nnc(-c2ccccc2Cl)s1,274.959,1.506,16,2,2,1,5
DB07634,Cc1cccc(C)c1OCC(=O)O,180.079,1.767,13,1,3,1,2
DB07645,O=C(O)CCCCCCCCC(=O)O,202.121,2.276,14,0,9,2,2
DB07661,Oc1ccc2c(O)cccc2c1,160.052,2.251,12,2,0,2,2
DB07673,CC(Cc1ccccc1)C(=O)O,164.084,1.95,12,1,3,1,1
